0.8141,0.5539
0.7285,0.5428
0.5840,0.5553
0.5129,0.4807
0.4522,0.4559
0.4286,0.3983
0.4026,0.4133
0.3800,0.4953
0.3562,0.4139
0.3365,0.3591
0.3250,0.3733
0.3229,0.3478
0.3073,0.3965
0.2974,0.3443
0.2773,0.3654
0.2615,0.3151
0.2633,0.3284
0.2408,0.3035
0.2368,0.2915
0.2460,0.3014
0.2438,0.3223
0.2275,0.2892
0.2134,0.3061
0.2167,0.2746
0.2254,0.2655
0.2152,0.2917
0.2126,0.2600
0.2020,0.2647
0.1980,0.2527
0.1988,0.2702
0.1978,0.2558
0.2011,0.2771
0.2009,0.2641
0.1983,0.2587
0.1977,0.2618
0.1950,0.2555
0.1992,0.2668
0.1912,0.2516
0.1917,0.2354
0.1836,0.2618
0.1884,0.2536
0.1886,0.2347
0.1938,0.2654
0.1829,0.2541
0.1962,0.2681
0.1856,0.2671
0.1895,0.2549
0.1877,0.2574
0.1868,0.2561
0.1891,0.2482
0.1824,0.2584
0.1841,0.2554
0.1927,0.2538
0.1885,0.2499
0.1825,0.2558
0.1829,0.2595
0.1860,0.2523
0.1826,0.2526
0.1872,0.2508
0.1889,0.2540
0.1893,0.2461
0.1787,0.2578
0.1848,0.2524
0.1809,0.2405
0.1846,0.2437
0.1805,0.2474
0.1880,0.2356
0.1848,0.2547
0.1825,0.2456
0.1874,0.2521
0.1836,0.2603
0.1769,0.2488
0.1831,0.2609
0.1925,0.2613
0.1784,0.2342
0.1810,0.2431
0.1814,0.2756
0.1856,0.2508
0.1843,0.2644
0.1741,0.2552
0.1864,0.2539
0.1912,0.2610
0.1845,0.2436
0.1875,0.2549
0.1896,0.2643
0.1790,0.2543
0.1891,0.2499
0.1833,0.2697
0.1819,0.2596
0.1802,0.2575
0.1833,0.2773
0.1906,0.2558
0.1832,0.2408
0.1886,0.2561
0.1812,0.2277
0.1829,0.2597
0.1847,0.2659
0.1866,0.2509
0.1809,0.2636
0.1853,0.2283
0.8101,0.6567
0.6864,0.6390
